station_id,timestamp,ebikes_available,classic_bikes_available,docks_available
2061578790793374684,2025/05/18 13:12,0,4,12
a07bd5e0-5136-4285-ae23-54a74124957e,2025/05/18 13:12,0,1,16
13c42471-96ab-441d-9a4c-bc57f7af6f9b,2025/05/18 13:12,0,3,9
08263fbd-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,1,18
d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,2025/05/18 13:12,1,10,3
0824eba7-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,1,12
5eb5b5a7-db69-4d8a-a16a-604678a544b7,2025/05/18 13:12,0,2,13
3af8c81c-b8d8-4af7-afe9-332a2cac4672,2025/05/18 13:12,0,9,5
08259c89-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,14
08263959-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,11
0826183f-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,0,18
2069025384409258804,2025/05/18 13:12,1,2,5
0825be05-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,2,17
dfa896d9-9209-413d-b494-e255ef513d2c,2025/05/18 13:12,1,11,6
0825f723-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,9,9
3d8b6392-9572-4c65-b71c-fd8f03af9ab2,2025/05/18 13:12,0,2,9
85c2fb24-d241-4550-8968-2cdf85462af7,2025/05/18 13:12,0,5,6
ee2cb739-9118-4069-b4f7-435ef53db537,2025/05/18 13:12,3,0,12
8bbafd08-edb1-426d-94f4-c7b7d9be34dd,2025/05/18 13:12,2,10,7
12b1c990-90e7-4fef-a5b9-c78d4c81af96,2025/05/18 13:12,2,6,11
08262494-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,8,7
0825e1e5-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,15
472dee60-f045-4f2e-9807-193e3ae9b661,2025/05/18 13:12,0,2,10
21cdfe0d-71ad-4302-a003-3cfc0d355af9,2025/05/18 13:12,0,7,11
1917259666206632502,2025/05/18 13:12,0,3,14
08258475-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,1,8
082604dd-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,17,6
0825ac97-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,2,6
bed9b757-0df2-4a97-a6ac-415db00e82c8,2025/05/18 13:12,0,7,12
08261f4b-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,6,12
082569e6-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,8
0826402c-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,11,4
08254943-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,19
08253b95-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,0,12
987decdd-577d-4614-a6eb-307944a634b4,2025/05/18 13:12,0,7,8
a3761e59-db36-4b61-8bb3-8d523af69b96,2025/05/18 13:12,1,6,8
08260472-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,12
08256670-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,15,14
febec658-2bcd-473e-8ba8-f84f016da7cd,2025/05/18 13:12,2,8,1
0825164b-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,4,22
2066765243426702154,2025/05/18 13:12,0,10,16
8d8a3add-40b4-41ba-bffe-5a754ebc1625,2025/05/18 13:12,0,0,0
7c46ff05-4fca-44e6-a50b-acbc57e8100b,2025/05/18 13:12,0,2,13
0825fbd3-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,5,12
0825b2e7-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,11
10d57c0d-6f3c-45d1-8a12-eda5665e213c,2025/05/18 13:12,0,11,2
0825e4d5-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,12,3
2025978688145375308,2025/05/18 13:12,0,5,8
0824c229-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,1,32
0825faf6-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,7,8
082522f0-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,4,27,4
0136af02-2670-4042-b5cd-18b46c15c0c1,2025/05/18 13:12,0,0,12
08261e7a-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,1,20
08265124-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,0,19
082650b1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,11,4
42ad2bc8-22b5-40f2-8a56-e562e4ecde07,2025/05/18 13:12,2,6,6
082520aa-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,12,7
5e571279-84a3-4dd6-9ee5-6a834e4c624a,2025/05/18 13:12,0,10,2
7a19d0e7-2b3c-4805-b843-1aec84a05bfe,2025/05/18 13:12,1,0,17
1874573898176678104,2025/05/18 13:12,0,6,4
08256e11-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,21,10
a77b8993-6d68-425e-a37a-0e613a7cb17a,2025/05/18 13:12,1,1,9
e976c0ab-bc21-42b3-a2c2-b90def6f54f4,2025/05/18 13:12,0,6,6
ebbf6e18-684d-4fc9-ad4d-c025b8d76556,2025/05/18 13:12,1,4,11
0826380c-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,7,4
2064975968599672936,2025/05/18 13:12,0,4,12
082624fc-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,3,2,17
08256ac9-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,5,17
08263cab-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,6,13
0825e56c-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,1,18
0825f2b1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,1,0,10
08252530-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,6,9
0824bce1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,8,9
08254dee-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,3,9
08257325-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,3,1,11
0825610d-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,9,11
e456b38d-7f5e-4d06-b2bc-022b42097a06,2025/05/18 13:12,0,5,5
1900964406001033780,2025/05/18 13:12,1,8,2
082595a1-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,0,2,13
0824773f-1f3f-11e7-bf6b-3863bb334450,2025/05/18 13:12,2,0,20
2077910615087598254,2025/05/18 13:12,0,5,10
