station_id,timestamp,ebikes_available,classic_bikes_available,docks_available
0825be94-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,6
08253c6b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,15
082604dd-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,4,18
6d5ad96d-a704-4fa6-8b65-3ac643c5aa93,2025/06/28 09:12,0,12,7
8bbafd08-edb1-426d-94f4-c7b7d9be34dd,2025/06/28 09:12,0,9,9
082537e4-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,4,15
08261f4b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,0,17
febec658-2bcd-473e-8ba8-f84f016da7cd,2025/06/28 09:12,0,8,3
08256e11-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,7,24
0824eba7-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,8,7
5e571279-84a3-4dd6-9ee5-6a834e4c624a,2025/06/28 09:12,0,4,8
0825b2e7-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,4,5
a77b8993-6d68-425e-a37a-0e613a7cb17a,2025/06/28 09:12,0,0,11
ee2cb739-9118-4069-b4f7-435ef53db537,2025/06/28 09:12,0,2,13
1900964406001033780,2025/06/28 09:12,0,2,9
6922a398-ec20-493d-a832-5e337cf335f5,2025/06/28 09:12,0,4,10
082518eb-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,12,3
2066765243426702154,2025/06/28 09:12,1,3,22
0825164b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,3,24
ebbf6e18-684d-4fc9-ad4d-c025b8d76556,2025/06/28 09:12,4,2,10
10d57c0d-6f3c-45d1-8a12-eda5665e213c,2025/06/28 09:12,0,13,2
6ffb5d30-d3f4-462b-8182-c552bebc9310,2025/06/28 09:12,1,8,10
08254dee-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,9
0825fbd3-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,3,16
5eb5b5a7-db69-4d8a-a16a-604678a544b7,2025/06/28 09:12,0,5,9
42ad2bc8-22b5-40f2-8a56-e562e4ecde07,2025/06/28 09:12,2,7,6
0825e4d5-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,6
94b1507c-7f76-483c-b06a-a4131e0b5970,2025/06/28 09:12,0,8,11
08265124-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,1,16
1892760823152249488,2025/06/28 09:12,0,7,4
082623bf-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,10,6
bed9b757-0df2-4a97-a6ac-415db00e82c8,2025/06/28 09:12,0,9,10
0825e1e5-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,10
7c46ff05-4fca-44e6-a50b-acbc57e8100b,2025/06/28 09:12,2,1,12
082522f0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,11,22
08252530-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,8,6
0826380c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,2
0825f2b1-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,9
e456b38d-7f5e-4d06-b2bc-022b42097a06,2025/06/28 09:12,0,7,4
08256670-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,9,21
2a43f4e2-4102-482e-8879-245cf7555c6b,2025/06/28 09:12,0,4,23
0824f461-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,0,20
5dfab137-f65a-41c0-99ef-d58f29a735b2,2025/06/28 09:12,0,3,16
21cdfe0d-71ad-4302-a003-3cfc0d355af9,2025/06/28 09:12,5,8,6
0825525a-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,6,8
6e652351-dad9-45e4-a0a7-dda0417973f4,2025/06/28 09:12,2,9,1
d34d2639-ee43-4892-818f-f01116813744,2025/06/28 09:12,4,5,6
0825e3b0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,1,16
2064975968599672936,2025/06/28 09:12,1,1,13
e823318f-8406-4230-8072-1667f5de78d4,2025/06/28 09:12,0,10,12
0824c772-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,8,26
0826402c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,12,3
0825213e-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,7,1
2087539483195992332,2025/06/28 09:12,0,8,10
08251448-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,4,7,9
